db_id,business_id,latitude,longitude,popularity,sentiment
4,--9e1ONYQuAa-CB_Rrw7Tw,36.1232,-115.169,0.09637074029886827,0.7299031828223214
11,--DdmeR16TRb3LsjG0ejrQ,36.1143,-115.171,0.0002970278361286671,0.6340573860000001
12,--e8PjCNhEz32pprnPhCwQ,36.1589,-115.133,0.0008952336685129145,0.6375108796384211
29,--o5BoU7qYMALeVDK6mwVg,36.1016,-115.132,0.0001666944490748458,0.5705963248706666
33,--q7kSBRb0vWC8lSkXFByA,36.0167,-115.17299999999999,0.0008852961909362957,0.8443184092857141
47,--WsruI0IGEoeRmkErU5Gg,36.1309,-115.191,0.0006112129799411012,0.9719665214285714
48,--Y7NhBKzLTbNliMUX_wfg,36.0612,-115.29,0.0002902172953522166,0.88378429625
49,--z7PM8AGaJP0aBmGMY7RA,36.1357,-115.176,0.0009636009877627012,0.9141825196666667
61,-0BxAGlIk5DJAGVkpqBXxg,36.1221,-115.16799999999999,0.005742879239596478,0.512463555116075
65,-0d4L4U3vKnTT0MEgyX_WA,36.115,-115.23700000000001,0.0006739976264065318,0.9971158109999999
77,-0KSt9tXv6C015vmAcSIcg,36.0402,-115.22399999999999,5.5769461023630954e-05,0.9798100666666668
85,-0qht1roIqleKiQkBLDkbw,36.038000000000004,-115.17299999999999,0.02535939597174898,0.4331814943025385
86,-0qqsy04kcYdXH3DOciaZw,36.2008,-115.334,0.0020397641208994093,0.7643488181525001
94,-0VImVWDeqewaA3th8fzIg,36.1119,-115.20299999999999,0.0005680413771436264,0.9839053530769231
103,-153AjTW5luZPK4omEujWA,36.103,-115.17399999999999,0.00011112963271656392,0.5760375357419999
105,-17RjDnOY9c7IsCcYUjx5Q,36.1611,-115.245,0.0006859815506366407,0.43191836609166673
109,-1dMU2kz5AhTC6N1W9xwuQ,36.1271,-115.191,0.0013897343429530955,0.536034519318864
116,-1Jq9x77Es6Ce1EJM4WhwQ,36.1866,-115.286,0.0021785452060524733,0.656637903125
118,-1m9o3vGRA8IBPNvNqKLmA,36.1043,-115.176,0.002043914281026323,0.8718800146478948
120,-1MVd6ljY2JT6gCKnrc-uw,36.1905,-115.31700000000001,0.000507917111327733,0.74939135939175
127,-1uVyyy3UXNA9WoPucNniA,36.0291,-115.117,0.0007039574369818039,0.9991925500000001
129,-1vfRrlnNnNJ5boOVghMPA,36.2813,-115.287,0.0050045170762216575,0.5227517169554973
140,-20PsGUoi0cK3hKwtFoh2w,36.1363,-115.15100000000001,0.00012992409772312325,0.79202011
142,-28hEE6AcAUbJctGwvC9kw,36.149,-115.154,0.0004021655067301765,0.8351711066666666
151,-2hDBMaza_ldqnZdiU06LQ,36.1643,-115.12799999999999,0.00014830927339898453,0.28081826095999995
156,-2L-SXb6OTKdmUkmEb1JAA,36.2335,-115.09700000000001,0.0,0.38380920366666665
162,-2P-_PVX-FtTKT2h1y5WMQ,36.0669,-115.177,7.415463669949226e-05,0.9955568075
168,-2QGc6Lb0R027lz0DpWN1A,36.0966,-115.19,0.0025871692310483357,0.7010322062695208
171,-2S3tYZEy-JbQonqdIsfqg,36.1183,-115.21,0.0009700022392084537,0.6305923131176471
174,-2ToCaDFpTNmmg3QFzxcWg,36.1547,-115.15899999999999,0.02512973665415773,0.09317537412132651
175,-2UBRY9opzc4GmCX3DBDdw,36.1584,-115.15899999999999,0.0002348571236592837,0.6596313793333334
184,-2ym8gLGnYV5uEgyMXnL7A,36.1325,-115.155,0.0013905529216144915,0.8797365562857143
186,-2_l2p8bdI91G3-EIjSikg,36.1275,-115.17200000000001,0.0007779074290159472,0.13638014259038825
188,-33vxPJAFP4wWiNdMqzz0w,36.0899,-115.29799999999999,3.09830339020172e-05,0.3687988353333333
195,-38Kck4mGlkBwd6OXayZRg,36.1122,-115.29799999999999,0.0017410991274479505,0.926376682
199,-3bL-QmK7-qBYLmQuSekBw,36.0101,-115.29299999999999,0.0001423173112839301,0.9951871999999999
